ascending longus colli,C1,4.972495385,39.3633697,5.492397745,C2,22.6000968,7.075163979,1.054508525,C2,14.95815307,14.17092137,16.00545937,,,,
ascending longus colli,C1,4.972495385,39.3633697,5.492397745,C3,21.69054718,5.324117558,4.01830979,C2,13.09746701,14.62687292,13.63650545,,,,
ascending longus colli,C1,4.972495385,39.3633697,5.492397745,C4,18.37414918,9.169250596,8.853345573,C3,16.37907217,11.88294612,12.81964284,,,,
ascending longus colli,C1,4.972495385,39.3633697,5.492397745,C5,15.50425713,10.45860153,13.10435898,C3,14.36803891,12.82014066,10.72194545,,,,
semispinalis capitis,skull,48.64345574,-133.8904618,-44.91131495,C3,22.23162931,-12.08146598,-0.450645712,C2,25.82960095,-22.85971831,-5.099729984,,,,
semispinalis capitis,skull,34.41870214,-143.4795664,-43.55036601,C4,20.47823571,-11.9103996,0.512177293,C2,21.31082785,-30.55181084,-6.383639172,,,,
semispinalis capitis,skull,26.99651141,-144.1605367,-45.79653395,C5,18.43989683,-17.03785416,4.08677583,C2,17.58824968,-34.99047493,-4.968279575,,,,
semispinalis capitis,skull,16.74014187,-148.1730016,-42.08704481,C6,19.71636359,-18.86139236,5.336636722,C2,11.65849693,-37.17424826,-6.887531799,,,,
semispinalis capitis,skull,8.976597816,-148.0823366,-41.70164334,C7,29.02177257,-14.29225883,4.448827842,C2,6.532778451,-37.81368487,-8.759596971,,,,
semispinalis capitis,skull,6.307879547,-148.3834824,-41.5330302,T1,30.7,-11.90330941,17.31145761,C2,6.532778451,-37.81368487,-8.759596971,,,,
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,C5,22.85483054,0.10034863,7.229986952,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,C6,23.11625009,-2.766450779,8.959412348,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,C7,30.56591924,-8.023781709,18.01417067,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,T1,32.15435,-12.20007946,17.19107678,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,T1,31.61385,-20.66803468,-0.359369698,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus capitis,skull,67.4097613,-101.226951,-45.9350376,T1,29.2914,-22.57709019,-24.15275639,C1,35.88933918,15.70078284,6.811291963,C3,26.07451782,-14.51016067,1.169843292
longissimus cervicis,C2,25.20019288,3.122621163,-2.655743714,T1,31.08675,-24.49797117,-48.7181467,C3,26.65935959,-4.359988727,0.269505737,T1,36.2207,-15.93496392,20.55463719
longissimus cervicis,C3,23.72564371,1.001185985,2.988734737,T1,32.0972,-22.89322519,-27.59070801,T1,36.2207,-15.93496392,20.55463719,,,,
